Clase,Lugar,Cantidad_Viajes
restaurant,Vips,741
restaurant,Los Arcos,678
restaurant,La Casa de Toño,639
restaurant,Casa de Pepe,638
restaurant,Cambalache,632
restaurant,Sanborns,629
restaurant,Gino's Insurgentes,626
restaurant,Munchies,613
restaurant,Chilli's,612
restaurant,Cortes Recreo,571
restaurant,La Deliciosa,566
restaurant,Bisquets Obregón,494
restaurant,El Indio taquero,488
restaurant,Casa de la Tía Yeya,477
restaurant,Sushi Itto,473
restaurant,Wings Army,468
restaurant,Belegui Oaxaca,467
restaurant,La Poblanita,467
restaurant,La Casa de Las Enchiladas (Lago Alberto),465
restaurant,Jimmy Boy,465
restaurant,Olivo,465
restaurant,Pescadito,463
restaurant,Las Alitas,463
restaurant,Mariscos Los Paisas,410
restaurant,Toks,351
restaurant,Pizza Hut,174
restaurant,Sushi Roll,167
restaurant,Luna de Plata,163
restaurant,El Porton,162
restaurant,Chili's,129
restaurant,Cafebrería El Péndulo,111
restaurant,San José,99
restaurant,Hooters,98
restaurant,Sushiitto,97
restaurant,Mariscos "Margarito",94
restaurant,Fralugio distribuidor electrónica,93
restaurant,Cocina económica "El zarape",92
restaurant,Taquería "El Sismo",91
hotel,Hotel California,91
restaurant,"Los sabores de México",91
restaurant,Aduana Cucapá,84
restaurant,50 Friends,75
restaurant,La Tregua,74
restaurant,El Campirano,74
restaurant,La Chinampa,68
restaurant,El Charco de las Ranas,64
restaurant,Pane en Vía,63
restaurant,Gelee,62
restaurant,Restaurante La Mansión,62
restaurant,Tlahco,62
restaurant,Crepes & Waffles,61
restaurant,Ojo de Agua,60
restaurant,Taquería El Negro,58
restaurant,Italianni's,58
restaurant,Pizza del Perro Negro,57
restaurant,Moshi Moshi,57
restaurant,El Pescadito,57
restaurant,P.F. Chang's,57
restaurant,Monsieur Croque,57
restaurant,Frankfurt,56
restaurant,Azul Condesa,56
restaurant,El Bajío,55
restaurant,Señor Taco,55
restaurant,Fisher's,55
restaurant,Buffalucas,54
restaurant,Marcelino Pan&Vino,54
restaurant,Muelle 22,54
restaurant,Tizoncito Tacos,54
restaurant,Pizzas Nosferatu,54
restaurant,Restaurante Ki-K,53
restaurant,Sep's,53
restaurant,CarbónVino - Keparrilla,53
restaurant,Xel Ha,53
restaurant,La Morena,52
restaurant,El Merito de Mar,52
restaurant,Quebracho,52
restaurant,La Buena Tierra,51
restaurant,Shalalá,51
restaurant,La Capital,51
restaurant,Lampuga,51
restaurant,Bonito,51
restaurant,La Barra,51
restaurant,Kabuki,51
hotel,FlowSuites Condesa,51
restaurant,Wichitos,51
restaurant,Garufa,51
restaurant,El Japonez,51
hotel,Hotel Parque México Suites,50
restaurant,Karma Bagels,50
restaurant,Pablo el Erizo,50
restaurant,Taqueria El Greco,50
restaurant,Bonito (Barragán design),50
restaurant,Restaurante Bar Nuevo León,49
restaurant,Falafelito,47
restaurant,Sonora Grill,47
restaurant,El Fogoncito,46
restaurant,Olive Garden,45
restaurant,Pizza Amore,44
restaurant,Chilakiller's,40
restaurant,Konditori,40
restaurant,Doble Malta,40
restaurant,Vancouver Wings,39
restaurant,Gino's,36
restaurant,Bokenka,36
restaurant,Los tacos,36
restaurant,Ostionería La Playa,35
restaurant,La esquina argentina,35
restaurant,Ramen, Noddles and More,35
restaurant,La Mansion,33
restaurant,Izakaya Sushi,33
restaurant,Sushitto,32
restaurant,La Isla del Dragón,32
restaurant,La puerca pecadora,32
restaurant,El Farolito,32
restaurant,Sanborns Café,30
restaurant,Los Güeros del Ajusco,30
restaurant,EL CALIFA,30
restaurant,Gorditas Mixcoac,29
restaurant,Saudade Brazil,29
restaurant,Centro macrobiotico,29
restaurant,A Pico y Espolon,29
restaurant,El Tizoncito,29
restaurant,Degú,29
restaurant,Central 10 Steak House,29
restaurant,Pinolo,29
restaurant,Taquería Hermanos Luna,29
restaurant,Menta 65,28
restaurant,La Pescadería,28
restaurant,La Vineria,27
restaurant,Primer Cuadro,27
hotel,Hotel Condesa,27
restaurant,El Cardenal,27
restaurant,Barracuda Diner,27
restaurant,La Lavanderia,27
restaurant,Texas Ribs,27
restaurant,Mariscos Don Panchito,27
restaurant,El Portón,27
restaurant,Papa Guapa,27
restaurant,Izakaya KURA,26
restaurant,Los Hornitos,26
restaurant,antojitos,26
restaurant,Central 11 23,26
restaurant,Chito's,26
restaurant,Dr Pizza,26
hotel,Fiesta Inn Insurgentes Sur,26
restaurant,California Pizza Kitchen,26
restaurant,La vie en Rose,25
restaurant,India Town,25
hotel,Hampton Inn,25
restaurant,Maison Kayser,25
restaurant,Lucky Sushi,25
restaurant,Fonda Fina,25
restaurant,Juncal Tablao Flamenco,25
restaurant,Shoma Hand Roll,25
restaurant,El Gallito,24
restaurant,Vapiano,24
restaurant,RamenYa,24
restaurant,G&G comida urbana,24
restaurant,Marisqueria Del Valle,24
restaurant,El Rey del Pavo,24
restaurant,La Biela,24
restaurant,Wings,23
restaurant,La Tizona (mariscos de carreta),23
hotel,Best Western Hotel Majestic,23
restaurant,El Mexicanito,22
restaurant,V Ramen,22
restaurant,Taquería La Negra,22
restaurant,Vegan ramen,22
restaurant,Daikoku,22
hotel,Marriott,22
hotel,Casa Pepe,22
restaurant,El Sazón,22
hotel,Condesa DF,22
restaurant,Taquería,22
restaurant,Pofferia,22
restaurant,Elkar Pollo,21
restaurant,Taqueria Regina,21
restaurant,Super tacos de guisado,21
restaurant,La Casa de la Yeya,21
restaurant,Pollos,21
restaurant,AMOS,21
restaurant,Elkar,21
restaurant,Trok's torta,21
restaurant,Azul Histórico,21
restaurant,Tacos El Guero,21
restaurant,Taquería y Pozolería,21
restaurant,Popeye Famous Louisiana Chicken,20
restaurant,Argentalia,20
restaurant,Baby Bon,20
restaurant,Tortas Tavo,20
restaurant,Mandragora vegan,20
restaurant,tacos el güero,20
restaurant,La Parrilla Suiza,20
restaurant,HM Hamburguesas,20
restaurant,Patagonia Parrilla de Campo,20
restaurant,Yuban (bar/restaurant),20
restaurant,La Casa de los abuelos,20
restaurant,Partners and Brothers,20
restaurant,Huset,19
restaurant,Ruben's Hamburgers Insurgentes,19
hotel,Zócalo Central,19
restaurant,La Torta Brava,19
restaurant,La Rural,19
restaurant,Cancino,19
restaurant,Taco Naco,19
hotel,Hotel NH,19
restaurant,Orinoco,19
restaurant,Ikaya Sushi,19
restaurant,Contramar,19
restaurant,Veganion Antojería,19
