Nombre_Carretera,Cantidad_Viajes
Avenida Insurgentes Sur,2614
Calle Lago Alberto,890
Calle Lago Xochimilco,871
Prolongación Lago Tana,772
Avenida Morelos,430
Cerrada Paseo de la Unidad Internacional,422
Calle Actipan,416
Calle Lago Gascasónica,403
Sur 77,391
Sur 79,370
Avenida Nuevo León,340
Calle María de la Luz Bringas,327
Avenida Alta Tensión,318
Calzada San Juan de Aragón,285
Calle Bellavista,267
Calle Lago Managua,260
Anillo Periférico,253
Avenida Universidad,247
Calle Ejido,246
Calle Benito Juárez,242
Circuito Interior,241
Calzada Ermita Iztapalapa,220
Avenida Guajiras,214
Distribuidor Vial San Antonio,204
Avenida El Bordo,203
Avenida Tláhuac,194
Avenida Prolongación San Antonio,191
Calle Ayapango,190
Avenida Revolución,188
Calle Satélite,177
Canal de Garay,169
Lago Aullagas,164
Calle Pino,152
Calle Planeta,151
Avenida Gavilán,143
Calle Compostela,138
Calle Minas de Cobre,137
Viaducto Miguel Alemán,134
Avenida Paseo de la Reforma,133
Calle Michoacán,130
Boulevard Adolfo Ruiz Cortines,130
Avenida Río Mixcoac,129
Avenida de las Torres,127
Avenida Luis Cabrera,126
Calle Lázaro Cárdenas,122
Avenida Insurgentes Norte,120
Autopista Urbana Sur,118
Avenida San Antonio,117
Avenida Instituto Politécnico Nacional,113
Calle Río Guadalupe,111
Avenida División del Norte,110
Calzada de Tlalpan,107
Avenida Lázaro Cárdenas,106
Avenida Baja California,106
Calle Oso,102
Andador Primer Gerona,101
Avenida 29 de Octubre,100
Boulevard Picacho Ajusco,100
Avenida Cuauhtémoc,100
Avenida 5,95
Cuarta Privada Bellavista,92
Carretera Picacho-Ajusco,91
Avenida Centenario,91
Calle Universidad,91
Estacionamiento Parque Tezontle,91
Calzada Taxqueña,89
Avenida Aquiles Serdán,88
Avenida San Lorenzo,88
Calle Emiliano Zapata,86
Calle Fernando Montes de Oca,85
Boulevard Adolfo López Mateos,85
Avenida Licenciado Javier Rojo Gómez,84
José María Rico,84
Calle 5 de Mayo,83
Calle Lago Athabasca,81
Avenida Ingeniero Eduardo Molina,81
Avenida Maestro José Vasconcelos,81
Calle Parroquia,81
Avenida Canal de Tezontle,79
Avenida Canal de Miramontes,79
Calle Ixtlán,77
Avenida Doctor José María Vértiz,75
Avenida San Jerónimo,74
Calle Toluca,74
Calzada de la Viga,73
Calle Vicente Guerrero,70
Calle José María Morelos,70
Avenida Río Churubusco,69
Calle Francisco P. Miranda,69
Calle Durango,68
Avenida San Bernabé,67
Autopista Urbana Poniente,66
Calle Higuera,65
Calle Francisco I. Madero,65
Calle Alfonso Corona del Rosal,64
Calle Miguel Hidalgo y Costilla,64
Calle Molinos,63
Calle Cádiz,63
Calzada de las Bombas,62
Avenida Chapultepec,62
Calle Minas,60
Avenida Armada de México,60
Avenida Patriotismo,60
Calle Murcia,59
Calzada Vallejo,59
Calzada México Tacuba,58
Calle Tapuyas,58
Viaducto Tlalpan,57
Avenida Sonora,57
Avenida Agustín Yáñez,57
Calle Cayapos,56
Avenida Barranca del Muerto,55
Calzada Ticomán,53
Calle Asturias,53
Calle La Mora,53
Camino al Desierto de los Leones,52
Avenida Fray Servando Teresa de Mier,52
Calle 5 de Febrero,51
Calle Gobernador Agustín Vicente Eguía,50
Calle Cañito,50
Avenida Central,50
Calzada Acoxpa,50
Avenida México,50
Avenida Ejército Nacional Mexicano,49
Calle Alborada,49
Calle Jesús Leucona,49
Calle Alfredo V. Bonfil,49
Privada México Tacuba,48
Calle Agustín Villaseñor,48
Calzada General Ignacio Zaragoza,48
Calle Plateros,48
Trolebús Elevado,48
Avenida Miguel Ángel de Quevedo,48
Calle Mirador,47
Calle Algeciras,47
Calle Ferrocarril a Cuernavaca,47
Calle Golfo de Tehuantepec,47
Periférico Segundo Piso,47
Calle Aztecas,46
Calle Fresas,46
Avenida de los Pinos,46
Avenida Álvaro Obregón,45
Calzada de la Virgen,45
Tercera Privada Bellavista,45
Calle Araucanos,44
Calle Yuncas,44
Avenida Alfonso Caso Andrade,44
Viaducto Río Becerra,44
Calle Villa Franqueza,43
Calle Carayas,43
Calle Santander,43
Cerrada las Flores,42
Avenida Benito Juárez,42
Calle 20 de Noviembre,42
Calzada General Mariano Escobedo,41
Avenida Benjamín Franklin,41
Autopista Urbana Norte,41
Calle Leonardo Da Vinci,41
Calle Río Colorado,40
Avenida Balderas,40
Calle Canal de Chalco,40
Calzada San Antonio Abad,40
Calle Nopal,40
Avenida Carlota Armero,40
Calle Homún,40
Viaducto Río de la Piedad,39
Calle Cuauhtémoc,39
Calzada México - Tacuba,39
Extremadura,38
Calle Felix Parra,38
Félix Cuevas,38
Cerrada Nicanor Arvide,38
Avenida Ojo de Agua,37
Avenida 5 de Mayo,37
Calle Tzinal,37
Lago Plava,37
Calle México 68,36
Avenida Guerrero,36
Calle San Francisco,36
Calle Miguel Hidalgo,36
Cerrada La Mira,36
Calle Ricardo Flores Magón,35
Calle Luis Echeverría,35
Avenida 16 de Septiembre,35
Transbordo intermodal MB San Juan de Aragón - TB,35
Avenida Santa Ana,34
Calzada Casa del Obrero Mundial,34
Calle Manuel Cañas,34
Avenida Toluca,34
Avenida Insurgentes Centro,33
Prolongación del Trabajo,32
Calle 7,32
Avenida Oaxaca,32
Avenida Paseo de la Reforma Norte,32
Calle Miguel Laurent,32
Calle Fresno,32
Calle Ignacio Zaragoza,31
Calle Esmeralda,31
Ferrocarril a Cuernavaca,31
Calle Venustiano Carranza,31
Calle Palma,30
Calle Tepotzotlán,30
Calle Villa Cid,30
Avenida Congreso de la Unión,30
Avenida Azcapotzalco,29
Avenida Fuentes,29
Cataluña,29
Heroica Escuela Naval Militar,29
Calle 2,29
Calle 2 de Abril,29
Avenida Miguel Hidalgo,28
Calle Damas,28
Calle Bororos,28
Mexibús L2,28
Xola,28
Calle del Puente,27
Avenida Marina Nacional,27
Avenida Montevideo,27
Calle Ignacio Allende,27
Avenida Coyoacán,27
Carretera Vía José López Portillo,27
Calle Nautla,27
Avenida Río Consulado,27
Calle Puebla,27
Avenida Ferrocarril Hidalgo,27
Avenida Presidente Masaryk,26
Calzada de Guadalupe,26
Calle Siracusa,26
Calle Amapolas,26
Calzada Camarones,26
Calle Cedros,26
Calle Mariano Abasolo,26
Avenida Constituyentes,26
Calle Luis Echeverría Álvarez,26
Calle Tultitlán,26
Avenida Amsterdam,26
Calle Recreo,26
Avenida Circunvalación,25
Calle Necaxa,25
Camino Viejo a San Lorenzo,25
Calle Orizaba,25
Calle Lago Nicaragua,25
Avenida Andrés Molina Enríquez,24
Avenida Monterrey,24
Calle Violeta,24
Galicia,24
Calle Cumbres de Maltrata,24
Calle Isabel la Católica,24
Calle Tigre,24
Francisco del Paso y Troncoso,24
Avenida Jalisco,23
Calle Arboledas,23
Mexibús L4,23
Calle Málaga,23
Calzada del Hueso,23
Cerrada 1ª Bruselas,23
Calle Tejocotes,23
Avenida Miguel Othón de Mendizábal,23
Calle Campana,23
Paseo de las Jacarandas,23
Calle Puente Metlac,23
Avenida Río Cazones,23
Cerrada Miguel Hidalgo,23
Avenida Luis Echeverría Álvarez,23
Calle Ferrocarril de Cuernavaca,23
Calzada Legaria,23
Calle Primavera,22
Calle 3 de Mayo,22
Avenida Vasco de Quiroga,22
Boulevard Puerto Aéreo,22
Canal Río Churubusco,22
Avenida Adolfo López Mateos,22
Calle Salamanca,22
Calle 4,22
Calle Palmas,22
Calle Morelos,22
Andador Palomas,21
Avenida del Taller,21
Vía Morelos,21
Calle Quinta Margarita,21
Calzada Melchor Ocampo,21
Calle Sur 75 A,21
Calle Palmar,21
Calle Pitágoras,20
Calle Norte 92-A,20
Avenida Tenochtitlán,20
Calle Río Mixcoac Oriente,20
Avenida Medellín,20
Avenida José María Pino Suárez,20
Avenida de la Antigua,20
Avenida Hidalgo,20
Calle Hermenegildo Galeana,20
Calle Jazmín,20
Callejón Ignacio Zaragoza,20
Calle Halachó,20
Calle Atacameños,19
Calle 19 de Febrero,19
Calle Alfonso Reyes,19
Calzada de las Águilas,19
Calle Jacarandas,19
Calle Las Huertas,19
Calle 24,19
Calle Janitzio,19
Avenida Campos Elíseos,19
Avenida Telecomunicaciones,19
Avenida Santa Lucía,19
Avenida Fortuna,19
Calle Capuchinas,19
Avenida Pirules,19
Cerrada Lago Gascasónica,19
Prolongación División del Norte,19
Ecoducto Río de la Piedad,19
Calle Minería,19
Calle 10,19
Calle Magueyes,19
Calle Lago Amatitlán,18
Avenida Central Carlos Hank González,18
Calle Cali,18
Calle Río Becerra,18
Calle San Lorenzo,18
Calle Adolfo López Mateos,18
Calle Estrella,18
Calle Álvaro Obregón,18
Calle Flor del Campo,18
Calle Pípilos,18
Cerrada 5 de Mayo,18
Avenida Río Soto La Marina,18
Calle Patricio Sanz,18
Avenida Tamaulipas,18
Avenida Aztecas,18
Calle Bugambilia,18
Avenida Guadalupe I. Ramírez,18
Calle Guanábana,18
Avenida Juárez,17
Avenida San Rafaél Atlixco,17
Transbordo Intermodal Metro Miguel Ángel de Quevedo,17
Cerrada Madero,17
Calle Centenario,17
Calle Minerva,17
Calle Nezahualcóyotl,17
Avenida José María Izazaga,17
Calle Orquídea,17
Avenida Yuncas,17
Calle Gardenia,17
Calle Lago Esclavos,17
Calle Las Flores,17
Calle Valentín Gómez Farías,17
Gabriel Mancera,17
General Emiliano Zapata,17
Avenida José María Castorena,17
Avenida Presidente Plutarco Elías Calles,17
Calle Flor de San Juan,16
Cerrada Paseo de España,16
Avenida Cruz Blanca,16
Calle Tizimín,16
Calle Laguna de Términos,16
Avenida Manuel González,16
Calle Simón Bolívar,16
Calle Nopatitla,16
Calle Atlapulco,16
Calle Colina,16
Calle Ferrocarril San Rafaél Atlixco,16
Calle Niza,16
Calle Tepetlapa,16
Calle República de El Salvador,16
Calle Campeche,16
Calle Bruselas,16
