Punto_Interes,Cantidad_Viajes
Oxxo,977
7-Eleven,562
BBVA,477
HSBC,449
La Casa de Las Enchiladas (Lago Alberto),447
Inbursa,446
Olivo,446
La Comer,444
Suburbia,437
La Flor de Jamaica,396
Los Arcos,391
Donkin' Donnuts,383
Gino's Insurgentes,379
Casa de Pepe,372
Tere Cazola,364
KFC,349
Cambalache,331
CE-420 María Luz Bringas-Oso,307
Office Depot,203
Green Grass,190
Starbucks,183
Santander,171
Scotiabank,156
Banamex,156
Banorte,136
Consultorio dental,135
Chilli's,119
BBVA Bancomer,103
Sanborns,90
Munchies,87
Fralugio distribuidor electrónica,84
Minisuper "La Guadalupana II",83
Professional Cycling,83
Farmacias Similares,82
Estética "LEAFAR",81
Cinemex Galerías Insurgentes,80
"Los sabores de México",74
Taquería "El Sismo",74
Cocina económica "El zarape",74
Mariscos "Margarito",73
Benavides,66
AT&T,65
CE-421 María Luz Bringas-Oso,65
Carl's Jr.,64
Sushiitto,60
Chili's,58
Toks,58
Gandhi,57
Sportium,53
El Ocho_Cafe recreativo,52
Vips,52
Restaurante La Mansión,52
Stoa,52
Farmacias del Ahorro,51
Consultorio Medico,51
Centro Cultural Zapata STUNAM,51
Cinemex Universidad,49
Bodega Aurrera Express,48
King's Pub,46
Burger King,46
Pablo el Erizo,46
Centro de Creación Literaria Xavier Villaurrutia,46
Restaurante Bar Nuevo León,44
Mojito Room,44
Cinemex Manacar,43
Karma Bagels,42
Bonito (Barragán design),42
Domino's,42
Hotel Parque México Suites,42
Taqueria El Greco,42
Carnitas "El Puente",41
Bonito,41
Cielito Querido,41
Phoenix,41
Which Wich?,40
Consultorio Dental Sin Nombre,40
¡El Aserrín!,40
Makena,38
Peralta,37
McDonald's,33
50 Friends,32
Sushi Roll,32
Moshi Moshi,32
Calligaris,32
Centro Educativo Winnie Pooh,31
Elektra,31
Telcel,30
Dentista,28
Subway,27
Bodega Aurrera,25
Alas Crepas,23
Jardin De Niños Margarita Estebane Salas,22
Wingstop,22
Bancomer,21
Consultorio médico,20
Sears,20
El Jekemir,20
Cortes Recreo,20
Walmart Express,19
El Globo,19
La Deliciosa,19
Comercial Mexicana,18
La Casa de Toño,18
Circle K,18
oxxo Torres de potrero,18
Tarasquito,18
Little Caesars,17
Hooters,17
Dentalia,17
El Conejo,17
Flexi,16
Cafebrería El Péndulo,16
Coppel,16
Casa Mary unifor.,16
Pizza Hut,16
Banco Azteca,15
caseta de policía,15
Tablaroca Del Sur Panel Rey,15
Tacos Hola,15
Pegaso,15
Herramura,15
Nissan,15
UNIVDEP,15
Casa de la Tía Yeya,14
El Bajío,14
FlowSuites Condesa,14
Colegio Cio de México,14
San Pablo,14
El Indio taquero,14
El Globo Parroquia,14
Sports World,14
Galibier Cycling House,14
DHL,14
La Papelería del Barrio,14
Caradura,14
Instituto Nacional Para La Educacion De Los Adultos,13
Neto Lomas De La Hera,13
Tagore Rabindranath,13
Jardin De Niños Manuel Cervantes Imaz,13
El planeta,13
Consultorio General De Farmacias Genericos Y Similares,13
Panamericana de manejo,13
mercado gascazonica,13
Soriana,12
escuela primaria,12
Centro Holistico Leo,12
Lavados y Planchados S.A.,12
Escuela primaria Rabindranath Tagore,12
Aduana Cucapá,12
CAPA,12
Centro Comunitario Los Vergeles,12
EcoBici Recreo-Parroquia,12
Casa De Materiales Ornelas,12
Centro Dermatologico,12
Los Güeros del Ajusco,12
Le Pain Quotidien,11
Jardin De Niños Samuel Ramos,11
Clinica Dental San Judas Tadeo,11
Coffee House,11
Super City,11
