Ciudad,Cantidad_Viajes
Ciudad de México,257
La Condesa,89
Pedregal de Tepepan,67
La Roma,24
San Ángel,22
San Miguel Topilejo,19
Polanco,17
Coyoacán,11
Del Valle,9
Narvarte,6
Coacalco,5
San Pablo Oztotepec,4
San Pedro Atocpan,4
San Jerónimo Aculco-Lídice,4
Cruztitla,4
Santa Rosa,4
Héroes de Tecámac,3
Tlatlapantunco,3
Prolongación Ermitaño,3
La Espejera,3
Tezontitla,3
San Antonio Tecómitl,3
Coapantitla,3
Kilómetro 28 Sur,2
El Ermitaño,2
Unidad Morelos 3ra Sección,2
Tenco,2
Texcalatlaco,2
Ciudad Universitaria,2
Aragón,2
Rancho Chichicaspa,2
Sagitario III,2
Los Encinos,2
Lomas Verdes,2
Camino a la Bandera,2
Atenco,2
Ecatepec,2
Ototzingo,2
San Juan Ixtayopan,2
Tepemimilco,2
Pedregal de San Ángel,2
Texali,1
Parada Oyameyo,1
Paraje Tlalmenelolpa,1
Chinampas Tetelco,1
Arboledas,1
Apetatita,1
San Nicolás Tetelco,1
Lomas de San Esteban,1
Cuatlixco,1
La Nopalera,1
Prolongación Xolotl,1
Matlahuacaloca,1
Tlacopanco,1
Tlacualleli,1
Camino al Panteón,1
Hueycotzingo,1
Citlalcuac,1
San Miguel,1
Don Diegoco,1
Tlaquexpa,1
Fraccionamiento Real Granada,1
Ixcuicuilco,1
Santa Fe,1
Oquetzalpa,1
San Paocotitla,1
Lomas de Cristo,1
Chililico,1
Totolapan,1
Venta Quemada,1
Naxayopa,1
Tizayuca,1
Chichilesca,1
Tepacheras,1
Xico,1
Estrella de Oriente,1
Santa Laura,1
El Cerrito,1
Villa Milpa Alta,1
Valle de las Monjas,1
La Candelaria,1
Huitlalpa,1
Polígono San Pedro,1
Santiago de Querétaro,1
El Arenal,1
Los Álamos,1
Ocotenco,1
Mirador de Velasco,1
San Andrés Mixquic,1
La Venta,1
Tlaltepetla,1
Lomas de Chapultepec,1
Arroyo La Mora,1
San Buenaventura,1
Tezompa,1
Santa Ana,1
Chinampa San Juan,1
Nuchtla,1
La Providencia,1
Rancho Santa María Atoyac,1
Tlalnepantla,1
Veracruz,1
Meyuca,1
Zacatepec,1
