Id_Viajes_Taxi,Proveedor,FechaHora_Inicio,FechaHora_Fin,Clase,Nombre,Distancia
1742,Mexico DF Taxi de Sitio,2016-11-26 03:16:00,2016-11-26 04:18:00,tree,Árbol de la Noche Victoriosa,299.73530146028588
9915,Mexico DF Taxi de Sitio,2017-07-09 04:53:00,2017-07-09 04:59:00,tree,Palmera,299.03442010576254
9912,Mexico DF Taxi de Sitio,2017-07-09 02:10:00,2017-07-09 02:32:00,spring,La fuente de Liverpool,297.92261021839386
3674,Mexico DF Taxi de Sitio,2016-12-01 10:30:00,2016-12-01 12:05:00,tree,Trueno,297.59445725268688
3526,Mexico DF Taxi de Sitio,2016-10-16 12:07:00,2016-10-16 12:09:00,tree,Ahuehuete El Sargento,296.67728821258476
5198,Mexico DF Taxi de Sitio,2016-11-16 05:14:00,2016-11-16 06:19:00,tree,Palmera,294.59087486667113
3674,Mexico DF Taxi de Sitio,2016-12-01 10:30:00,2016-12-01 12:05:00,tree,Trueno,292.38812810406927
9159,Mexico DF Taxi de Sitio,2017-06-28 12:12:00,2017-06-28 12:38:00,peak,Cerro de Chapultepec,288.03809029509733
7415,Mexico DF Taxi de Sitio,2017-05-27 02:44:00,2017-05-27 03:05:00,tree,Palmera,285.56100891050278
10485,Mexico DF Taxi de Sitio,2017-04-10 08:05:00,2017-04-10 09:48:00,tree,El Cardenal,285.15797634627762
3283,Mexico DF Taxi Libre,2017-05-12 11:41:00,2017-05-12 11:50:00,tree,Antiguo Ahuehuete. Monumento de Tacuba,283.0257781654235
149,Mexico DF Taxi Libre,2017-04-22 09:54:00,2017-04-22 10:04:00,tree,El Cardenal,282.66442045171971
3674,Mexico DF Taxi de Sitio,2016-12-01 10:30:00,2016-12-01 12:05:00,tree,Trueno,280.40828493123166
508,Mexico DF Taxi de Sitio,2017-04-01 03:07:00,2017-04-01 03:56:00,tree,Trueno,278.8156672174722
2344,Mexico DF Taxi de Sitio,2016-12-17 11:58:00,2016-12-18 12:10:00,tree,Palmera,277.27665245578953
